"order_id","total"
1,"1091.09"
2,"345.26"
2,"1125.03"
3,"569.49"
3,"1018.64"
3,"1068.13"
4,"750.03"
4,"421.80"
4,"945.04"
4,"1263.72"
5,"245.88"
5,"923.61"
5,"965.99"
6,"166.53"
6,"590.85"
6,"940.84"
8,"481.74"
9,"1240.31"
9,"1388.88"
9,"966.71"
9,"885.36"
10,"488.03"
11,"1070.45"
11,"226.44"
11,"189.54"
12,"794.72"
12,"546.87"
12,"584.19"
12,"853.62"
13,"1139.03"
14,"272.66"
14,"74.45"
15,"22.23"
15,"313.74"
15,"639.00"
16,"838.75"
16,"1237.35"
16,"893.44"
16,"348.28"
16,"174.48"
17,"1309.91"
17,"119.34"
17,"578.19"
18,"222.01"
18,"1038.19"
19,"751.89"
20,"284.72"
20,"582.73"
21,"81.15"
21,"155.02"
21,"501.05"
22,"786.84"
22,"151.17"
22,"852.42"
22,"346.51"
22,"770.67"
22,"799.34"
23,"1065.90"
23,"983.67"
23,"1007.00"
23,"1184.17"
23,"1038.16"
23,"1326.35"
24,"354.68"
24,"145.52"
24,"66.21"
25,"40.19"
26,"77.72"
26,"1005.01"
27,"736.55"
27,"1126.99"
27,"1109.36"
27,"490.12"
28,"671.24"
29,"223.36"
29,"1087.83"
29,"267.91"
29,"1482.59"
29,"1307.49"
29,"587.15"
29,"1368.32"
30,"271.76"
30,"548.70"
30,"598.33"
31,"1148.32"
31,"1492.11"
31,"331.52"
31,"1131.70"
31,"50.35"
32,"344.95"
33,"284.16"
33,"429.84"
33,"348.26"
33,"942.10"
34,"1148.89"
34,"406.30"
34,"855.46"
35,"326.10"
35,"1176.41"
35,"919.68"
35,"224.57"
35,"359.47"
36,"1282.05"
36,"230.33"
36,"612.69"
36,"1136.14"
37,"1274.01"
37,"806.32"
38,"587.06"
38,"1074.09"
38,"752.52"
39,"525.64"
39,"198.73"
39,"1036.04"
39,"1137.83"
39,"292.31"
39,"696.91"
40,"245.62"
40,"49.45"
40,"228.33"
40,"307.31"
40,"1450.73"
40,"7.88"
41,"545.48"
41,"413.53"
41,"879.71"
41,"917.75"
42,"999.10"
42,"283.48"
42,"88.88"
42,"1018.84"
42,"388.46"
42,"537.52"
42,"767.33"
43,"1100.14"
43,"628.79"
43,"224.07"
43,"715.83"
44,"452.15"
44,"1118.58"
44,"472.87"
45,"1349.15"
45,"782.81"
46,"1192.11"
46,"306.15"
46,"1028.74"
46,"935.11"
46,"948.08"
46,"316.90"
46,"1045.34"
48,"568.88"
48,"1427.49"
48,"46.57"
48,"323.90"
49,"419.18"
49,"1240.42"
49,"813.09"
50,"669.34"
50,"1291.72"
50,"927.31"
50,"1156.05"
50,"1290.77"
50,"812.17"
51,"122.70"
51,"1168.10"
51,"265.46"
52,"848.14"
52,"974.72"
52,"303.62"
52,"217.52"
53,"341.45"
54,"20.72"
54,"390.32"
54,"380.54"
55,"651.36"
55,"635.33"
56,"278.20"
56,"605.85"
57,"627.61"
57,"1054.44"
58,"372.93"
58,"442.39"
59,"1131.72"
59,"183.82"
59,"519.24"
59,"1184.60"
60,"209.29"
60,"274.85"
60,"727.88"
60,"337.08"
60,"881.88"
60,"928.56"
61,"414.85"
62,"507.37"
62,"452.10"
63,"1203.39"
63,"321.07"
63,"14.66"
63,"842.69"
63,"404.81"
64,"171.14"
64,"915.51"
64,"982.30"
65,"561.20"
65,"1126.70"
66,"917.80"
66,"1345.16"
67,"397.01"
67,"798.61"
67,"111.52"
68,"257.33"
68,"472.38"
69,"57.02"
70,"1182.87"
71,"908.11"
71,"147.59"
71,"151.94"
71,"572.54"
71,"884.76"
71,"85.07"
72,"1286.12"
72,"1242.47"
72,"1087.72"
72,"791.60"
72,"468.21"
74,"575.80"
74,"616.62"
74,"706.14"
74,"1066.53"
74,"1269.95"
76,"947.41"
76,"1007.45"
76,"777.33"
76,"1245.11"
76,"1296.89"
77,"669.32"
77,"119.79"
77,"1247.94"
78,"375.49"
78,"92.43"
79,"1086.95"
79,"842.92"
80,"134.54"
80,"240.24"
80,"566.63"
80,"782.48"
81,"149.77"
82,"349.61"
82,"692.94"
83,"660.16"
84,"1301.37"
85,"1323.43"
85,"731.86"
85,"520.49"
86,"987.68"
86,"1031.50"
86,"928.35"
86,"612.78"
87,"907.40"
87,"1040.59"
88,"407.48"
88,"780.44"
89,"798.01"
90,"391.56"
90,"226.77"
90,"1262.13"
90,"896.96"
90,"594.38"
90,"1097.81"
90,"974.00"
91,"1210.04"
91,"793.35"
91,"609.63"
91,"840.73"
91,"1390.78"
92,"971.32"
92,"82.73"
93,"586.95"
93,"925.96"
93,"569.04"
94,"255.35"
95,"874.27"
95,"271.04"
95,"1257.57"
95,"347.37"
96,"550.60"
96,"725.47"
96,"92.62"
96,"1067.41"
97,"1093.51"
97,"70.37"
97,"960.35"
98,"854.26"
98,"327.57"
98,"1076.12"
98,"328.91"
98,"975.87"
98,"368.53"
99,"601.35"
99,"718.64"
99,"529.84"
99,"1058.51"
99,"453.30"
100,"774.42"
100,"785.27"
100,"36.86"
100,"138.03"
100,"918.36"
101,"469.01"
101,"1322.06"
102,"525.56"
102,"963.71"
102,"199.06"
102,"402.59"
103,"1428.56"
104,"761.84"
104,"1317.18"
105,"483.10"
105,"759.47"
105,"899.22"
105,"709.02"
106,"668.10"
106,"552.34"
106,"1024.02"
106,"125.11"
107,"297.04"
107,"109.76"
107,"1296.73"
108,"209.60"
108,"387.51"
108,"878.11"
108,"263.80"
109,"1179.60"
109,"1420.19"
109,"912.61"
109,"301.14"
109,"625.78"
110,"128.82"
110,"1139.71"
110,"685.14"
