"rank","customer_name","total_revenue"
"1","Customer 112","223714.76"
"2","Customer 1506","221118.91"
"3","Customer 4352","216284.19"
"4","Customer 5654","215667.58"
"5","Customer 7832","213391.60"
"6","Customer 3879","213313.07"
"7","Customer 229","212999.66"
"8","Customer 3820","207346.52"
"9","Customer 8558","205544.51"
"10","Customer 1916","202143.69"
"11","Customer 8820","201418.21"
"12","Customer 9992","201409.11"
"13","Customer 6027","200403.06"
"14","Customer 2093","200073.35"
"15","Customer 5775","199429.32"
"16","Customer 5351","198943.93"
"17","Customer 5142","198258.63"
"18","Customer 5933","197468.10"
"19","Customer 5782","195381.84"
"20","Customer 2199","194617.95"
"21","Customer 4964","193663.15"
"22","Customer 91","192661.28"
"23","Customer 4665","192406.03"
"24","Customer 3269","192191.70"
"25","Customer 7258","191945.27"
"26","Customer 5036","191374.17"
"27","Customer 9829","190651.34"
"28","Customer 5265","190326.56"
"29","Customer 9390","190155.73"
"30","Customer 6589","189457.82"
"31","Customer 2768","188906.65"
"32","Customer 8400","188642.55"
"33","Customer 9096","187196.26"
"34","Customer 8541","186777.32"
"35","Customer 5850","186182.94"
"36","Customer 1975","186100.83"
"37","Customer 1704","185770.96"
"38","Customer 655","185317.01"
"39","Customer 7354","184883.33"
"40","Customer 6459","184753.77"
"41","Customer 62","183928.87"
"42","Customer 7237","181873.15"
"43","Customer 8913","181411.24"
"44","Customer 8144","181234.94"
"45","Customer 8001","181080.82"
"46","Customer 1139","180723.19"
"47","Customer 4483","180721.48"
"48","Customer 1195","180545.83"
"49","Customer 9927","179661.13"
"50","Customer 8039","179382.99"
"51","Customer 1187","178635.40"
"52","Customer 6321","178482.04"
"53","Customer 3576","177948.45"
"54","Customer 6387","177427.78"
"55","Customer 7519","177050.96"
"56","Customer 9353","176844.51"
"57","Customer 4601","176810.19"
"58","Customer 6720","176759.70"
"59","Customer 1211","176695.61"
"60","Customer 8156","176425.67"
"61","Customer 624","176298.50"
"62","Customer 6277","176200.60"
"63","Customer 2702","176197.78"
"64","Customer 8096","176127.76"
"65","Customer 725","176024.40"
"66","Customer 4296","175963.87"
"67","Customer 6389","175504.17"
"68","Customer 5866","175021.27"
"69","Customer 2626","174924.30"
"70","Customer 8807","174902.78"
"71","Customer 6554","174707.04"
"72","Customer 410","174691.28"
"73","Customer 4652","174369.87"
"74","Customer 5356","173972.72"
"75","Customer 4237","173702.77"
"76","Customer 8930","173396.90"
"77","Customer 6374","172467.26"
"78","Customer 4881","171954.01"
"79","Customer 1748","171938.23"
"80","Customer 9652","171878.98"
"81","Customer 2240","171856.48"
"82","Customer 8024","171752.38"
"83","Customer 70","171748.45"
"84","Customer 5805","171081.49"
"85","Customer 6483","170985.27"
"86","Customer 8605","170858.35"
"87","Customer 6438","170756.36"
"88","Customer 1661","170747.06"
"89","Customer 3635","170608.14"
"90","Customer 2346","170576.48"
"91","Customer 9055","170335.41"
"92","Customer 6474","170220.48"
"93","Customer 8925","170134.21"
"94","Customer 1752","169635.23"
"95","Customer 816","169044.35"
"96","Customer 7890","168764.47"
