"month","total_revenue"
"2022-01-01 00:00:00+00","16925123.39"
"2022-02-01 00:00:00+00","15293261.73"
"2022-03-01 00:00:00+00","17073626.22"
"2022-04-01 00:00:00+01","17096750.74"
"2022-05-01 00:00:00+01","18049422.95"
"2022-06-01 00:00:00+01","17325301.31"
"2022-07-01 00:00:00+01","16783135.95"
"2022-08-01 00:00:00+01","17967760.18"
"2022-09-01 00:00:00+01","16519542.76"
"2022-10-01 00:00:00+01","16579767.96"
"2022-11-01 00:00:00+00","16385897.37"
"2022-12-01 00:00:00+00","16998702.90"
"2023-01-01 00:00:00+00","16433580.15"
"2023-02-01 00:00:00+00","14398285.30"
"2023-03-01 00:00:00+00","17050283.17"
"2023-04-01 00:00:00+01","16641316.86"
"2023-05-01 00:00:00+01","17441814.55"
"2023-06-01 00:00:00+01","16903822.77"
"2023-07-01 00:00:00+01","17877277.22"
"2023-08-01 00:00:00+01","16770532.49"
"2023-09-01 00:00:00+01","15970147.41"
"2023-10-01 00:00:00+01","16034499.32"
"2023-11-01 00:00:00+00","16511322.21"
"2023-12-01 00:00:00+00","18215646.64"
"2024-01-01 00:00:00+00","17008932.17"
"2024-02-01 00:00:00+00","16505200.36"
"2024-03-01 00:00:00+00","16942341.09"
"2024-04-01 00:00:00+01","16643890.86"
"2024-05-01 00:00:00+01","17348283.56"
"2024-06-01 00:00:00+01","16519924.98"
"2024-07-01 00:00:00+01","17733761.93"
"2024-08-01 00:00:00+01","17035643.79"
"2024-09-01 00:00:00+01","16144561.10"
"2024-10-01 00:00:00+01","16453288.50"
"2024-11-01 00:00:00+00","17259911.82"
"2024-12-01 00:00:00+00","16949149.47"
"2025-01-01 00:00:00+00","17307322.62"
"2025-02-01 00:00:00+00","16263271.54"
"2025-03-01 00:00:00+00","16941421.12"
"2025-04-01 00:00:00+01","17368758.75"
"2025-05-01 00:00:00+01","17149427.40"
"2025-06-01 00:00:00+01","16618914.42"
"2025-07-01 00:00:00+01","17474471.87"
"2025-08-01 00:00:00+01","17067344.74"
"2025-09-01 00:00:00+01","17319319.68"
"2025-10-01 00:00:00+01","17763301.35"
"2025-11-01 00:00:00+00","16742689.90"
"2025-12-01 00:00:00+00","16696393.76"
