"rank","product_name","total_revenue"
"1","Product_340","565910.46"
"2","Product_947","556736.64"
"3","Product_312","541863.20"
"4","Product_1893","541588.87"
"5","Product_1134","530543.88"
"6","Product_1607","529865.33"
"7","Product_329","527313.52"
"8","Product_27","525324.51"
"9","Product_1075","522415.84"
"10","Product_1684","520017.25"
"11","Product_1905","519577.19"
"12","Product_182","519332.24"
"13","Product_1233","517714.73"
"14","Product_1751","517244.55"
"15","Product_1921","515383.90"
"16","Product_1785","515375.26"
"17","Product_144","514660.22"
"18","Product_1119","512702.26"
"19","Product_991","509788.91"
"20","Product_1386","507257.98"
"21","Product_528","506961.92"
"22","Product_1707","505644.43"
"23","Product_1127","504198.03"
"24","Product_544","503903.84"
"25","Product_771","503538.25"
"26","Product_1561","503341.79"
"27","Product_516","502828.53"
"28","Product_1746","502381.00"
"29","Product_1262","502102.99"
"30","Product_575","500277.09"
"31","Product_1484","500180.00"
"32","Product_1412","499458.58"
"33","Product_455","498961.37"
"34","Product_1642","498623.26"
"35","Product_1695","498402.37"
"36","Product_1347","497591.08"
"37","Product_958","497301.51"
"38","Product_669","496889.87"
"39","Product_1609","496657.74"
"40","Product_1478","496265.07"
"41","Product_126","496068.85"
"42","Product_1922","495103.99"
"43","Product_1580","494540.65"
"44","Product_1264","493849.63"
"45","Product_640","493670.77"
"46","Product_536","493496.42"
"47","Product_1493","492997.16"
"48","Product_1875","492578.42"
"49","Product_773","492360.87"
"50","Product_1300","492320.24"
"51","Product_1824","492055.60"
"52","Product_1462","491874.53"
"53","Product_740","491407.21"
"54","Product_127","491406.87"
"55","Product_1651","491382.22"
"56","Product_1156","490910.27"
"57","Product_1896","490576.80"
"58","Product_178","490419.73"
"59","Product_262","488320.04"
"60","Product_1870","488102.74"
"61","Product_1055","487831.67"
"62","Product_1543","487807.17"
"63","Product_1545","487581.77"
"64","Product_1831","487087.08"
"65","Product_244","486796.46"
"66","Product_1735","486372.20"
"67","Product_1093","486242.88"
"68","Product_1719","486036.74"
"69","Product_508","485901.86"
"70","Product_1715","485701.25"
"71","Product_744","485526.81"
"72","Product_1192","484953.35"
"73","Product_311","484949.73"
"74","Product_1399","484461.27"
"75","Product_369","484417.86"
"76","Product_190","483780.12"
"77","Product_1687","483182.16"
"78","Product_959","482941.91"
"79","Product_993","482729.96"
"80","Product_285","482664.48"
"81","Product_402","482663.73"
"82","Product_1929","482265.22"
"83","Product_1154","482237.24"
"84","Product_115","481725.57"
"85","Product_1925","481017.59"
"86","Product_1275","481007.22"
"87","Product_1571","480259.47"
"88","Product_1417","480179.81"
"89","Product_1071","480050.74"
"90","Product_941","479752.08"
"91","Product_1678","479698.94"
"92","Product_1361","479555.51"
"93","Product_206","479485.35"
"94","Product_1920","479439.94"
"95","Product_1049","478730.40"
"96","Product_399","478108.98"
"97","Product_1098","478026.12"
"98","Product_167","477887.21"
"99","Product_762","477827.85"
"100","Product_934","477550.04"
"101","Product_256","477448.34"
"102","Product_1753","477231.25"
"103","Product_91","477218.15"
"104","Product_482","476978.60"
"105","Product_1993","476757.84"
"106","Product_1292","476683.04"
"107","Product_1029","476563.77"
"108","Product_1771","476449.80"
"109","Product_1267","476287.55"
"110","Product_1159","475811.44"
"111","Product_2","475513.53"
"112","Product_1591","475046.99"
"113","Product_436","474985.25"
"114","Product_688","474654.35"
"115","Product_1934","474371.28"
"116","Product_1733","474285.05"
"117","Product_245","474275.18"
"118","Product_1038","474266.13"
"119","Product_660","473932.95"
"120","Product_869","473921.05"
"121","Product_936","473808.53"
"122","Product_138","473625.84"
"123","Product_784","473589.96"
"124","Product_1290","473589.69"
"125","Product_1919","473424.21"
"126","Product_1117","473387.54"
"127","Product_753","473275.08"
"128","Product_240","473261.24"
"129","Product_1742","473152.15"
"130","Product_961","473082.54"
"131","Product_590","473028.76"
"132","Product_162","472558.14"
"133","Product_681","472008.27"
"134","Product_1004","472008.00"
"135","Product_761","471949.59"
"136","Product_1793","471907.65"
"137","Product_889","471834.15"
"138","Product_1158","471674.84"
"139","Product_578","471601.67"
"140","Product_1863","471355.52"
"141","Product_709","471199.49"
"142","Product_1513","471158.50"
"143","Product_1480","470767.55"
"144","Product_1491","470603.80"
"145","Product_1713","470581.17"
"146","Product_824","470449.89"
"147","Product_1964","470120.33"
"148","Product_1169","470119.16"
"149","Product_1702","469934.21"
"150","Product_830","469928.77"
"151","Product_1526","469730.07"
"152","Product_563","469671.71"
"153","Product_1914","469663.76"
"154","Product_656","469587.22"
"155","Product_1056","469489.46"
"156","Product_965","469138.95"
"157","Product_632","469050.44"
"158","Product_297","468983.74"
"159","Product_1315","468956.04"
"160","Product_1789","468533.14"
"161","Product_1251","468511.78"
"162","Product_276","468457.06"
"163","Product_1133","468427.26"
"164","Product_1257","468382.17"
"165","Product_1518","468307.96"
"166","Product_832","468190.11"
"167","Product_557","468163.88"
"168","Product_1228","467870.65"
"169","Product_302","467752.16"
"170","Product_1643","467746.73"
"171","Product_1940","467693.21"
"172","Product_464","467556.13"
"173","Product_1146","467241.97"
"174","Product_490","467131.10"
"175","Product_107","467121.82"
"176","Product_829","466516.96"
"177","Product_913","466450.35"
"178","Product_135","466344.99"
"179","Product_1836","466062.26"
"180","Product_907","465904.33"
"181","Product_809","465840.44"
"182","Product_1219","465518.71"
"183","Product_615","465462.12"
"184","Product_976","465354.86"
"185","Product_1524","465094.93"
"186","Product_356","464995.39"
"187","Product_29","464692.44"
"188","Product_978","464410.02"
"189","Product_4","464067.34"
"190","Product_1423","463992.47"
"191","Product_229","463952.85"
"192","Product_429","463936.34"
"193","Product_345","463690.26"
"194","Product_477","463636.19"
"195","Product_203","463031.96"
"196","Product_267","462922.28"
"197","Product_469","462708.49"
"198","Product_1129","462583.45"
"199","Product_1100","462572.03"
"200","Product_1549","462152.89"
"201","Product_231","461884.89"
"202","Product_1424","461713.32"
"203","Product_1868","461626.58"
"204","Product_757","461605.00"
"205","Product_932","461563.45"
"206","Product_963","461369.49"
"207","Product_1027","461287.67"
"208","Product_1890","461264.34"
"209","Product_1245","461137.70"
"210","Product_1353","460967.86"
"211","Product_819","460646.43"
"212","Product_1495","460640.49"
"213","Product_305","460574.33"
"214","Product_607","460102.97"
"215","Product_643","459837.72"
"216","Product_1712","459801.94"
"217","Product_185","459746.52"
"218","Product_1792","459621.27"
"219","Product_1659","459488.54"
"220","Product_359","459467.57"
"221","Product_1408","459407.37"
"222","Product_500","459380.23"
"223","Product_443","459182.50"
"224","Product_522","459161.26"
"225","Product_1494","459094.46"
"226","Product_333","459028.35"
"227","Product_191","458915.97"
"228","Product_984","458897.46"
"229","Product_1803","458894.72"
"230","Product_1640","458758.89"
"231","Product_636","458669.20"
"232","Product_1984","458369.23"
"233","Product_1693","458323.23"
"234","Product_1044","457909.80"
"235","Product_597","457807.99"
"236","Product_1566","457757.21"
"237","Product_74","457661.79"
"238","Product_380","457554.73"
"239","Product_461","457479.46"
"240","Product_390","457386.17"
"241","Product_651","456942.00"
"242","Product_72","456817.98"
"243","Product_1188","456779.98"
"244","Product_1971","456634.37"
"245","Product_353","456596.40"
"246","Product_1938","456521.34"
"247","Product_689","456455.62"
"248","Product_554","456308.81"
"249","Product_1360","456296.47"
"250","Product_1008","456025.43"
"251","Product_172","455918.35"
"252","Product_195","455916.88"
"253","Product_1570","455804.64"
"254","Product_859","455571.70"
"255","Product_732","455362.63"
"256","Product_920","455337.28"
"257","Product_1623","454522.19"
"258","Product_1511","454468.29"
"259","Product_136","454443.76"
"260","Product_1632","454398.40"
"261","Product_1516","454356.82"
"262","Product_1291","454248.41"
"263","Product_623","454016.94"
