"month","total_revenue","previous_month","monthly_growth_pct"
"2022-01-01 00:00:00+00","16925123.39",NULL,NULL
"2022-02-01 00:00:00+00","15293261.73","16925123.39","-9.64"
"2022-03-01 00:00:00+00","17073626.22","15293261.73","11.64"
"2022-04-01 00:00:00+01","17096750.74","17073626.22","0.14"
"2022-05-01 00:00:00+01","18049422.95","17096750.74","5.57"
"2022-06-01 00:00:00+01","17325301.31","18049422.95","-4.01"
"2022-07-01 00:00:00+01","16783135.95","17325301.31","-3.13"
"2022-08-01 00:00:00+01","17967760.18","16783135.95","7.06"
"2022-09-01 00:00:00+01","16519542.76","17967760.18","-8.06"
"2022-10-01 00:00:00+01","16579767.96","16519542.76","0.36"
"2022-11-01 00:00:00+00","16385897.37","16579767.96","-1.17"
"2022-12-01 00:00:00+00","16998702.90","16385897.37","3.74"
"2023-01-01 00:00:00+00","16433580.15","16998702.90","-3.32"
"2023-02-01 00:00:00+00","14398285.30","16433580.15","-12.38"
"2023-03-01 00:00:00+00","17050283.17","14398285.30","18.42"
"2023-04-01 00:00:00+01","16641316.86","17050283.17","-2.40"
"2023-05-01 00:00:00+01","17441814.55","16641316.86","4.81"
"2023-06-01 00:00:00+01","16903822.77","17441814.55","-3.08"
"2023-07-01 00:00:00+01","17877277.22","16903822.77","5.76"
"2023-08-01 00:00:00+01","16770532.49","17877277.22","-6.19"
"2023-09-01 00:00:00+01","15970147.41","16770532.49","-4.77"
"2023-10-01 00:00:00+01","16034499.32","15970147.41","0.40"
"2023-11-01 00:00:00+00","16511322.21","16034499.32","2.97"
"2023-12-01 00:00:00+00","18215646.64","16511322.21","10.32"
"2024-01-01 00:00:00+00","17008932.17","18215646.64","-6.62"
"2024-02-01 00:00:00+00","16505200.36","17008932.17","-2.96"
"2024-03-01 00:00:00+00","16942341.09","16505200.36","2.65"
"2024-04-01 00:00:00+01","16643890.86","16942341.09","-1.76"
"2024-05-01 00:00:00+01","17348283.56","16643890.86","4.23"
"2024-06-01 00:00:00+01","16519924.98","17348283.56","-4.77"
"2024-07-01 00:00:00+01","17733761.93","16519924.98","7.35"
"2024-08-01 00:00:00+01","17035643.79","17733761.93","-3.94"
"2024-09-01 00:00:00+01","16144561.10","17035643.79","-5.23"
"2024-10-01 00:00:00+01","16453288.50","16144561.10","1.91"
"2024-11-01 00:00:00+00","17259911.82","16453288.50","4.90"
"2024-12-01 00:00:00+00","16949149.47","17259911.82","-1.80"
"2025-01-01 00:00:00+00","17307322.62","16949149.47","2.11"
"2025-02-01 00:00:00+00","16263271.54","17307322.62","-6.03"
"2025-03-01 00:00:00+00","16941421.12","16263271.54","4.17"
"2025-04-01 00:00:00+01","17368758.75","16941421.12","2.52"
"2025-05-01 00:00:00+01","17149427.40","17368758.75","-1.26"
"2025-06-01 00:00:00+01","16618914.42","17149427.40","-3.09"
"2025-07-01 00:00:00+01","17474471.87","16618914.42","5.15"
"2025-08-01 00:00:00+01","17067344.74","17474471.87","-2.33"
"2025-09-01 00:00:00+01","17319319.68","17067344.74","1.48"
"2025-10-01 00:00:00+01","17763301.35","17319319.68","2.56"
"2025-11-01 00:00:00+00","16742689.90","17763301.35","-5.75"
"2025-12-01 00:00:00+00","16696393.76","16742689.90","-0.28"
