"category_name","total_revenue"
"Category_16","49622128.23"
"Category_7","46139269.62"
"Category_20","45528190.90"
"Category_14","45157874.56"
"Category_9","44068441.29"
"Category_11","42871990.40"
"Category_8","42196659.15"
"Category_4","42182593.93"
"Category_12","41915079.24"
"Category_6","40879870.28"
"Category_1","40871266.29"
"Category_15","40228895.96"
"Category_19","39916743.06"
"Category_2","39106088.25"
"Category_13","38192688.47"
"Category_17","37081859.78"
"Category_3","34840830.88"
"Category_18","34545846.37"
"Category_10","33094795.80"
"Category_5","32063152.80"
