"supplier_name","total_revenue"
"Supplier_198","7586491.76"
"Supplier_111","6666409.21"
"Supplier_59","6657775.98"
"Supplier_197","6637886.52"
"Supplier_145","6535583.27"
"Supplier_177","6421886.54"
"Supplier_17","6360719.26"
"Supplier_182","6343520.81"
"Supplier_195","6342854.11"
"Supplier_146","6192774.49"
"Supplier_58","6154001.28"
"Supplier_68","6036340.80"
"Supplier_71","5974662.42"
"Supplier_200","5963218.70"
"Supplier_160","5901314.51"
"Supplier_152","5833307.31"
"Supplier_53","5757489.46"
"Supplier_162","5722153.80"
"Supplier_196","5586578.05"
"Supplier_41","5499727.52"
"Supplier_26","5495067.40"
"Supplier_6","5465584.90"
"Supplier_112","5454450.99"
"Supplier_64","5423993.01"
"Supplier_120","5347185.66"
"Supplier_176","5337814.06"
"Supplier_187","5336865.81"
"Supplier_5","5318612.09"
"Supplier_105","5279599.04"
"Supplier_129","5265668.78"
"Supplier_122","5217658.80"
"Supplier_9","5210850.77"
"Supplier_84","5210641.25"
"Supplier_104","5210078.98"
"Supplier_44","5208682.99"
"Supplier_73","5099638.06"
"Supplier_119","5092391.17"
"Supplier_18","5086009.38"
"Supplier_24","5085130.07"
"Supplier_135","5082672.97"
"Supplier_48","5069160.13"
"Supplier_171","5056994.32"
"Supplier_20","5051102.37"
"Supplier_169","5021585.53"
"Supplier_166","5017805.19"
"Supplier_183","4989457.18"
"Supplier_4","4971139.97"
"Supplier_124","4961685.97"
"Supplier_33","4939488.12"
"Supplier_141","4938653.83"
"Supplier_158","4928843.96"
"Supplier_8","4901404.05"
"Supplier_180","4875255.06"
"Supplier_94","4849799.32"
"Supplier_23","4845114.41"
"Supplier_154","4827657.65"
"Supplier_75","4805310.37"
"Supplier_87","4777683.70"
"Supplier_74","4775708.97"
"Supplier_134","4768743.56"
"Supplier_57","4754842.42"
"Supplier_63","4754327.75"
"Supplier_121","4739990.41"
"Supplier_70","4685841.00"
"Supplier_116","4666262.24"
"Supplier_91","4644843.74"
"Supplier_35","4635648.25"
"Supplier_193","4619692.70"
"Supplier_90","4596906.06"
"Supplier_107","4562858.03"
"Supplier_140","4544192.74"
"Supplier_19","4543756.46"
"Supplier_127","4490126.97"
"Supplier_173","4486403.65"
"Supplier_45","4469846.39"
"Supplier_10","4444050.46"
"Supplier_192","4431650.11"
"Supplier_167","4426947.47"
"Supplier_72","4424612.19"
"Supplier_170","4414740.14"
"Supplier_132","4409881.61"
"Supplier_115","4354577.84"
"Supplier_79","4348649.74"
"Supplier_108","4347924.79"
"Supplier_37","4330856.83"
"Supplier_98","4323244.61"
"Supplier_106","4310493.64"
"Supplier_50","4280236.37"
"Supplier_14","4238615.07"
"Supplier_142","4235799.35"
"Supplier_95","4231927.73"
"Supplier_39","4208191.21"
"Supplier_22","4171464.22"
"Supplier_52","4170784.22"
"Supplier_103","4155262.85"
"Supplier_30","4113565.61"
"Supplier_81","4113445.58"
"Supplier_2","4100779.11"
"Supplier_56","4071267.90"
"Supplier_123","4068071.40"
"Supplier_99","4065735.24"
"Supplier_155","4061753.59"
"Supplier_60","4061040.80"
"Supplier_118","4045219.92"
"Supplier_175","4041330.27"
"Supplier_128","4032342.03"
"Supplier_66","4019776.17"
"Supplier_136","4014647.06"
"Supplier_100","3989938.42"
"Supplier_163","3954466.94"
"Supplier_54","3944091.62"
"Supplier_156","3821737.03"
"Supplier_157","3804733.26"
"Supplier_78","3801208.32"
"Supplier_102","3790532.62"
"Supplier_144","3717670.63"
"Supplier_138","3712066.95"
"Supplier_92","3700412.82"
"Supplier_1","3661761.01"
"Supplier_113","3640652.09"
"Supplier_117","3639109.51"
"Supplier_46","3623834.99"
"Supplier_42","3614036.58"
"Supplier_13","3599789.96"
"Supplier_21","3586895.32"
"Supplier_28","3571149.53"
"Supplier_191","3539168.87"
"Supplier_89","3538369.09"
"Supplier_12","3527460.09"
"Supplier_29","3513989.14"
"Supplier_34","3502502.70"
"Supplier_31","3499614.88"
"Supplier_16","3433019.21"
"Supplier_184","3413806.60"
"Supplier_178","3358055.81"
"Supplier_161","3350108.63"
"Supplier_86","3346039.54"
"Supplier_125","3345348.36"
"Supplier_194","3310850.53"
"Supplier_77","3310602.86"
"Supplier_38","3289066.16"
"Supplier_139","3262912.07"
"Supplier_153","3240054.28"
"Supplier_55","3240001.65"
"Supplier_143","3237767.47"
"Supplier_189","3216210.49"
"Supplier_80","3200432.99"
"Supplier_40","3195123.90"
"Supplier_96","3194479.72"
"Supplier_165","3192858.64"
"Supplier_126","3183914.62"
"Supplier_27","3182474.91"
"Supplier_51","3167621.79"
"Supplier_149","3149145.49"
"Supplier_36","3095858.24"
"Supplier_164","3083742.91"
"Supplier_110","3037183.43"
"Supplier_185","2994679.96"
"Supplier_67","2988981.79"
"Supplier_114","2956328.81"
"Supplier_101","2951727.66"
"Supplier_147","2932847.29"
"Supplier_179","2903127.85"
"Supplier_133","2882429.95"
"Supplier_130","2876746.34"
"Supplier_82","2875872.67"
"Supplier_109","2853072.52"
"Supplier_199","2851862.69"
"Supplier_83","2848087.30"
"Supplier_32","2845043.77"
"Supplier_186","2828214.35"
"Supplier_47","2801809.48"
"Supplier_62","2773651.48"
"Supplier_188","2747970.39"
"Supplier_190","2706635.42"
"Supplier_69","2692637.96"
"Supplier_93","2683456.17"
"Supplier_168","2677175.76"
"Supplier_88","2605766.04"
"Supplier_11","2554275.15"
"Supplier_159","2489962.28"
"Supplier_15","2485104.69"
"Supplier_25","2464224.35"
"Supplier_172","2458278.47"
"Supplier_7","2446017.52"
"Supplier_43","2418987.08"
"Supplier_3","2412771.48"
"Supplier_150","2363039.30"
"Supplier_65","2285061.88"
"Supplier_85","2250939.02"
"Supplier_181","2181069.35"
"Supplier_148","1843717.33"
"Supplier_151","1823214.44"
"Supplier_137","1697784.93"
"Supplier_76","1674954.78"
"Supplier_61","1673518.95"
"Supplier_97","1512193.56"
"Supplier_174","1377558.72"
"Supplier_49","1256652.09"
"Supplier_131","1184715.06"
