"product_name","total_revenue"
"Product_1920","10499.79"
"Product_175","10499.58"
"Product_901","10496.36"
"Product_1225","10496.15"
"Product_1684","10495.59"
"Product_1596","10492.02"
"Product_1996","10491.46"
"Product_1962","10490.69"
"Product_155","10487.54"
"Product_1246","10486.84"
"Product_1441","10486.14"
"Product_42","10485.37"
"Product_910","10481.94"
"Product_1172","10481.17"
"Product_670","10480.33"
"Product_881","10478.72"
"Product_1026","10478.30"
"Product_1680","10476.76"
"Product_144","10476.34"
"Product_255","10476.20"
