"customer_name","total_revenue"
"Customer 7518","10499.79"
"Customer 1114","10499.58"
"Customer 6600","10496.36"
"Customer 4696","10496.15"
"Customer 2138","10495.59"
"Customer 510","10492.02"
"Customer 5107","10491.46"
"Customer 4633","10490.69"
"Customer 710","10487.54"
"Customer 8011","10486.84"
"Customer 2819","10486.14"
"Customer 7257","10485.37"
"Customer 8180","10481.94"
"Customer 4033","10481.17"
"Customer 2381","10480.33"
"Customer 1034","10478.72"
"Customer 29","10478.30"
"Customer 4036","10476.76"
"Customer 8613","10476.34"
"Customer 2217","10476.20"
"Customer 2775","10475.43"
"Customer 1477","10475.29"
"Customer 333","10475.22"
"Customer 335","10473.96"
"Customer 5251","10473.68"
"Customer 6370","10472.00"
"Customer 1754","10470.25"
"Customer 8977","10470.11"
"Customer 6361","10469.13"
"Customer 9431","10468.36"
"Customer 1791","10468.29"
"Customer 9543","10466.96"
"Customer 9398","10466.75"
"Customer 5183","10466.68"
"Customer 5099","10465.70"
"Customer 6249","10465.49"
"Customer 4300","10464.79"
"Customer 769","10463.25"
"Customer 9320","10462.83"
"Customer 109","10462.06"
"Customer 9228","10461.64"
"Customer 6742","10460.87"
"Customer 3585","10460.80"
"Customer 3962","10460.45"
"Customer 1728","10460.31"
"Customer 4394","10458.14"
"Customer 9024","10456.46"
"Customer 8009","10455.48"
"Customer 9940","10454.08"
"Customer 9342","10453.94"
