order_id,customer_id,order_date,order_status
1,4224,2023-12-31,COMPLETE
2,1574,2022-12-02,COMPLETE
3,4973,2025-06-21,completed
4,3794,2022-11-16,Cancelled
5,7520,2022-05-23,COMPLETE
6,2654,2025-11-12,Completed
7,541,2024-07-29,COMPLETE
8,2212,2023-12-01,COMPLETE
9,9751,2022-09-22,Completed
10,8323,2025-03-19,Completed
11,5544,2023-03-18,completed
12,3821,2022-01-13,COMPLETE
13,2232,2024-03-04,COMPLETE
14,9018,2023-09-27,Completed
15,2719,2025-03-20,completed
16,7691,2024-07-07,completed
17,1023,2024-01-22,Cancelled
18,5355,2022-02-17,Cancelled
19,4227,2024-04-17,completed
20,8889,2022-06-03,completed
21,9230,2022-01-10,COMPLETE
22,814,2022-03-30,completed
23,3838,2025-03-06,COMPLETE
24,8851,2025-04-06,COMPLETE
25,1084,2023-11-18,Completed
26,2975,2022-04-12,completed
27,9376,2024-05-12,COMPLETE
28,5567,2023-06-24,Cancelled
29,6682,2022-12-05,Completed
30,2625,2025-04-16,Completed
31,5506,2025-03-30,Cancelled
32,7550,2022-07-13,Cancelled
33,2733,2023-09-29,COMPLETE
34,1998,2024-10-10,Cancelled
35,9441,2025-06-04,Cancelled
36,7676,2024-02-26,completed
37,7778,2025-07-14,completed
38,4344,2025-03-26,COMPLETE
39,8204,2023-09-10,completed
40,3608,2024-12-15,Completed
41,8929,2024-02-12,COMPLETE
42,510,2024-05-31,Cancelled
43,9461,2023-10-04,Completed
44,6095,2025-08-07,Cancelled
45,5746,2025-11-15,COMPLETE
46,4817,2023-06-22,completed
47,3043,2023-08-07,COMPLETE
48,4911,2022-11-01,COMPLETE
49,6573,2024-08-13,Completed
50,1059,2023-04-15,Cancelled
51,4301,2023-05-16,completed
52,9082,2025-05-20,completed
53,5504,2023-02-16,Completed
54,2953,2023-06-05,completed
55,5697,2024-11-23,Cancelled
56,7611,2025-06-30,Completed
57,2745,2025-04-17,COMPLETE
58,9701,2023-02-11,Completed
59,7638,2022-09-28,completed
60,3034,2023-03-18,completed
61,6035,2025-03-09,Completed
62,9960,2025-05-04,COMPLETE
63,9325,2024-10-13,COMPLETE
64,1202,2025-04-14,COMPLETE
65,249,2023-03-11,completed
66,8004,2023-01-23,COMPLETE
67,5277,2023-07-29,Cancelled
68,8422,2025-01-02,COMPLETE
69,2676,2022-11-13,COMPLETE
70,9477,2024-01-14,Completed
71,2876,2024-02-24,Cancelled
72,8513,2025-08-23,Completed
73,7295,2022-01-26,completed
74,28,2023-07-30,completed
75,510,2024-05-21,COMPLETE
76,641,2025-05-30,completed
77,3251,2025-07-10,Completed
78,3748,2025-10-20,Cancelled
79,2720,2024-05-05,Completed
80,3904,2024-10-23,completed
81,5006,2023-08-27,Cancelled
82,9504,2022-06-10,Cancelled
83,3337,2022-10-30,Completed
84,9683,2022-05-20,Cancelled
85,1419,2022-05-30,Completed
86,7600,2025-03-10,Completed
87,9651,2024-01-11,COMPLETE
88,3460,2024-06-20,Cancelled
89,4905,2022-11-03,Cancelled
90,7313,2023-07-10,Completed
91,7343,2023-10-04,COMPLETE
92,9530,2022-06-10,Cancelled
93,5249,2022-07-05,completed
94,3082,2025-03-01,Cancelled
95,347,2023-03-07,Completed
96,117,2025-06-02,Completed
97,9613,2023-05-10,Cancelled
98,3083,2024-12-15,Completed
99,1632,2024-04-14,COMPLETE
100,2000,2025-01-20,COMPLETE
101,8060,2023-08-09,completed
102,7270,2022-04-26,completed
103,8133,2022-01-17,COMPLETE
104,6099,2025-04-30,completed
105,8999,2023-05-19,Cancelled
106,7004,2022-10-02,Completed
107,1692,2022-07-30,Cancelled
108,2705,2024-05-07,COMPLETE
109,5541,2022-01-01,completed
110,3436,2023-08-09,COMPLETE
111,8403,2022-11-09,COMPLETE
112,9883,2024-03-01,COMPLETE
113,1778,2023-08-14,completed
114,3148,2023-01-07,Cancelled
115,8058,2023-02-26,Cancelled
116,2500,2025-03-17,COMPLETE
117,687,2025-10-26,Cancelled
118,5067,2023-03-11,completed
119,9122,2025-09-25,completed
120,9507,2025-03-20,Completed
121,2834,2022-12-17,Completed
122,9966,2023-05-12,completed
123,2246,2023-08-16,Completed
124,1186,2022-04-12,Cancelled
125,2465,2024-03-24,completed
126,8576,2022-09-18,Completed
127,1522,2025-12-14,COMPLETE
128,980,2023-07-10,completed
129,4178,2022-11-03,Cancelled
130,3611,2025-01-15,Cancelled
131,7472,2024-06-02,Completed
132,5701,2023-02-20,COMPLETE
133,7574,2022-04-24,COMPLETE
134,1954,2023-10-24,completed
135,5547,2023-12-19,completed
136,9677,2024-07-20,completed
137,884,2025-05-11,Cancelled
138,4824,2024-08-30,completed
139,124,2022-08-29,Cancelled
140,526,2022-03-15,Completed
141,2087,2024-05-18,Completed
142,6412,2023-01-29,completed
143,6100,2024-01-16,COMPLETE
144,9569,2025-01-03,COMPLETE
145,4407,2023-08-17,Completed
146,4136,2022-08-18,Cancelled
147,8027,2024-12-15,Completed
148,4877,2022-08-22,COMPLETE
149,8773,2023-09-27,Completed
150,1994,2023-05-28,Cancelled
151,4526,2022-07-25,Cancelled
152,8649,2024-10-06,COMPLETE
153,9644,2023-02-18,Completed
154,204,2024-01-07,Cancelled
155,4214,2023-12-15,Cancelled
156,5924,2022-09-02,Completed
157,6366,2025-02-03,Completed
158,4993,2022-06-26,COMPLETE
159,6207,2025-03-28,COMPLETE
160,7502,2022-02-18,COMPLETE
161,7460,2025-04-26,Completed
162,2193,2023-12-13,Completed
163,5050,2025-01-27,Cancelled
164,2710,2023-04-17,Cancelled
165,9375,2025-01-15,Cancelled
166,2829,2023-02-16,Completed
167,9151,2023-12-10,Cancelled
168,4075,2024-09-23,Cancelled
169,5951,2023-05-03,Cancelled
170,69,2022-02-17,Completed
171,1638,2023-05-03,COMPLETE
172,5664,2023-12-23,Completed
173,8394,2022-07-15,Cancelled
174,8458,2022-08-28,completed
175,6252,2023-05-29,COMPLETE
176,3126,2025-07-16,COMPLETE
177,7095,2024-07-02,Completed
178,7506,2024-04-24,COMPLETE
179,6334,2024-02-21,Completed
180,239,2024-03-19,Cancelled
181,5047,2022-01-13,Completed
182,8018,2025-02-07,Completed
183,291,2023-03-28,Cancelled
184,6465,2022-07-11,Completed
185,1809,2025-05-20,Cancelled
186,955,2022-10-26,COMPLETE
187,7033,2022-10-26,COMPLETE
188,1931,2024-08-31,Completed
189,6990,2023-01-22,Cancelled
190,8476,2024-10-19,Completed
191,8999,2024-11-12,Completed
192,7780,2024-12-16,completed
193,5131,2024-05-16,Cancelled
194,6586,2022-11-10,Completed
195,2677,2022-09-05,Cancelled
196,3572,2023-03-16,Completed
197,3760,2025-10-02,Completed
198,9811,2022-03-06,completed
199,5122,2023-04-04,Cancelled
200,9001,2023-09-12,Cancelled
201,3787,2022-12-21,Cancelled
202,942,2025-01-17,Cancelled
203,8232,2025-01-15,completed
204,1339,2024-02-23,Cancelled
205,4653,2024-02-11,completed
206,1322,2022-04-23,Cancelled
207,1655,2023-09-11,completed
208,3069,2024-04-25,Cancelled
209,4739,2022-02-18,Completed
210,6594,2024-05-17,COMPLETE
211,8587,2023-03-28,COMPLETE
212,792,2023-09-24,Cancelled
213,6677,2023-11-10,Completed
214,744,2022-01-31,Cancelled
215,6525,2022-12-29,completed
216,6575,2025-03-20,Completed
217,194,2022-11-07,Cancelled
218,7895,2024-05-21,completed
219,4275,2025-11-10,Completed
220,3898,2025-09-04,Completed
221,8410,2023-11-05,Completed
222,3583,2024-06-01,completed
223,5084,2024-06-24,COMPLETE
224,8130,2022-10-26,COMPLETE
225,5344,2024-08-07,Completed
226,7518,2024-10-07,Cancelled
227,7790,2025-08-23,Cancelled
228,3904,2025-04-04,COMPLETE
229,1786,2022-05-20,COMPLETE
230,7963,2024-04-06,COMPLETE
231,9375,2023-09-27,Completed
232,524,2024-08-18,COMPLETE
233,3297,2023-12-23,Completed
234,6957,2024-03-29,Cancelled
235,4480,2023-07-05,completed
236,7712,2023-02-27,Cancelled
237,5686,2024-01-25,Completed
238,6648,2022-07-08,Completed
239,8561,2022-10-12,completed
