product_id,product_name,category_id,supplier_id,unit_price
1,Product_1,17,24,48.31
2,Product_2,6,178,1016.98
3,Product_3,10,104,1089.06
4,Product_4,14,29,1269.57
5,Product_5,15,72,602.4
6,Product_6,12,86,587.72
7,Product_7,19,104,830.79
8,Product_8,11,141,1137.2
9,Product_9,1,192,963.28
10,Product_10,8,156,494.35
11,Product_11,6,133,523.09
12,Product_12,12,74,1145.69
13,Product_13,20,137,804.3
14,Product_14,16,142,151.47
15,Product_15,18,102,233.73
16,Product_16,12,138,1277.53
17,Product_17,20,161,1498.21
18,Product_18,2,75,506.85
19,Product_19,7,40,583.12
20,Product_20,9,134,235.96
21,Product_21,18,17,357.39
22,Product_22,9,164,639.82
23,Product_23,8,70,430.16
24,Product_24,1,61,1053.63
25,Product_25,5,111,809.08
26,Product_26,16,177,1234.33
27,Product_27,14,197,1088.16
28,Product_28,13,83,196.51
29,Product_29,11,199,189.47
30,Product_30,20,24,1343.99
31,Product_31,13,51,1230.17
32,Product_32,15,170,704.54
33,Product_33,16,147,199.89
34,Product_34,13,62,1348.37
35,Product_35,8,67,349.9
36,Product_36,18,30,58.12
37,Product_37,19,107,1386.74
38,Product_38,15,166,1214.36
39,Product_39,10,134,1041.76
40,Product_40,4,111,55.88
41,Product_41,6,150,795.0
42,Product_42,8,121,982.19
43,Product_43,7,11,1140.22
44,Product_44,12,72,709.26
45,Product_45,18,91,1430.26
46,Product_46,18,29,370.95
47,Product_47,19,119,109.25
48,Product_48,4,119,502.49
49,Product_49,1,8,994.4
50,Product_50,5,80,1107.05
51,Product_51,7,163,1109.05
52,Product_52,11,72,170.46
53,Product_53,11,200,1328.21
54,Product_54,10,173,424.85
55,Product_55,7,33,318.82
56,Product_56,16,5,923.61
57,Product_57,1,190,321.71
58,Product_58,1,165,764.52
59,Product_59,12,145,613.51
60,Product_60,16,22,351.89
61,Product_61,5,78,441.63
62,Product_62,14,160,643.97
63,Product_63,18,14,522.51
64,Product_64,9,148,575.46
65,Product_65,2,150,1104.47
66,Product_66,12,30,256.73
67,Product_67,10,182,943.29
68,Product_68,2,161,1018.85
69,Product_69,15,5,1204.12
70,Product_70,4,18,1271.75
71,Product_71,19,63,242.2
72,Product_72,4,174,211.7
73,Product_73,9,135,924.08
74,Product_74,13,157,1136.59
75,Product_75,10,57,412.13
76,Product_76,14,175,791.14
77,Product_77,3,9,1159.5
78,Product_78,3,187,1152.42
79,Product_79,20,112,982.46
80,Product_80,16,105,122.79
81,Product_81,9,123,80.71
82,Product_82,14,71,585.73
83,Product_83,16,199,44.9
84,Product_84,9,113,1356.7
85,Product_85,5,171,35.12
86,Product_86,13,59,49.27
87,Product_87,15,6,252.16
88,Product_88,4,110,942.39
89,Product_89,14,111,814.62
90,Product_90,20,53,990.93
91,Product_91,20,64,1340.86
92,Product_92,7,4,685.14
93,Product_93,4,1,70.59
94,Product_94,17,70,1146.43
95,Product_95,9,31,1218.89
96,Product_96,4,65,79.58
97,Product_97,3,117,368.06
98,Product_98,19,197,1157.04
99,Product_99,9,19,567.35
100,Product_100,8,197,711.61
101,Product_101,7,118,1235.65
102,Product_102,7,69,146.46
103,Product_103,4,177,1017.54
104,Product_104,19,31,326.4
105,Product_105,12,188,98.66
106,Product_106,20,199,995.43
107,Product_107,6,79,186.51
108,Product_108,12,55,1121.78
109,Product_109,20,127,308.04
110,Product_110,4,77,77.53
111,Product_111,2,91,153.45
112,Product_112,15,166,1262.7
113,Product_113,6,161,559.6
114,Product_114,18,6,456.89
115,Product_115,5,141,739.34
116,Product_116,4,20,951.23
117,Product_117,11,100,60.47
118,Product_118,11,165,1347.79
119,Product_119,9,45,1437.93
120,Product_120,3,81,628.87
121,Product_121,11,59,621.88
122,Product_122,2,52,1318.45
123,Product_123,9,146,646.82
124,Product_124,10,25,1285.0
125,Product_125,11,123,47.36
126,Product_126,3,129,737.03
127,Product_127,17,41,1428.88
128,Product_128,11,102,382.94
129,Product_129,17,18,402.9
130,Product_130,19,129,947.03
131,Product_131,4,167,1389.66
132,Product_132,2,159,302.12
133,Product_133,14,102,1382.87
134,Product_134,15,71,996.19
135,Product_135,3,166,1489.61
136,Product_136,20,8,1106.01
137,Product_137,13,162,1003.36
138,Product_138,13,73,1223.28
139,Product_139,18,89,266.83
140,Product_140,20,27,1419.25
141,Product_141,7,169,252.57
142,Product_142,16,7,43.38
143,Product_143,16,32,1048.3
144,Product_144,6,73,280.97
145,Product_145,6,99,1139.34
146,Product_146,4,112,1193.58
147,Product_147,3,144,358.87
148,Product_148,1,130,134.65
149,Product_149,3,171,753.73
150,Product_150,19,31,1335.88
151,Product_151,9,80,1271.7
152,Product_152,14,175,180.04
153,Product_153,19,33,1447.35
154,Product_154,19,145,399.6
155,Product_155,13,99,527.34
156,Product_156,16,54,227.83
157,Product_157,8,54,569.82
158,Product_158,16,179,955.28
159,Product_159,9,180,761.59
160,Product_160,9,135,1242.17
161,Product_161,3,182,963.74
162,Product_162,7,139,399.0
163,Product_163,20,190,838.37
164,Product_164,18,30,100.97
165,Product_165,2,82,873.28
166,Product_166,1,57,587.55
167,Product_167,12,174,152.11
168,Product_168,16,70,464.66
169,Product_169,12,66,1347.64
170,Product_170,10,183,881.13
171,Product_171,9,107,1355.38
172,Product_172,18,186,619.15
173,Product_173,4,10,1468.47
174,Product_174,8,132,543.23
175,Product_175,4,74,1136.42
176,Product_176,16,73,461.58
177,Product_177,8,62,163.46
178,Product_178,7,109,1250.42
179,Product_179,13,171,1145.06
180,Product_180,8,42,1231.84
181,Product_181,7,24,453.04
182,Product_182,5,5,1056.97
183,Product_183,18,99,333.78
184,Product_184,19,196,21.91
185,Product_185,10,99,1300.4
186,Product_186,11,120,787.67
187,Product_187,8,77,1475.56
188,Product_188,6,101,580.63
189,Product_189,11,96,1435.53
190,Product_190,16,173,924.51
191,Product_191,4,187,770.75
192,Product_192,2,120,457.7
193,Product_193,13,65,1238.79
194,Product_194,7,191,1244.05
195,Product_195,17,121,628.31
196,Product_196,13,90,1092.3
197,Product_197,10,195,673.62
198,Product_198,13,177,1110.79
199,Product_199,10,115,1491.31
200,Product_200,7,77,397.43
201,Product_201,10,32,952.91
