supplier_id,supplier_name,country
1,Supplier_1,China
2,Supplier_2,Germany
3,Supplier_3,UK
4,Supplier_4,UK
5,Supplier_5,UK
6,Supplier_6,China
7,Supplier_7,USA
8,Supplier_8,China
9,Supplier_9,Germany
10,Supplier_10,USA
11,Supplier_11,Germany
12,Supplier_12,UK
13,Supplier_13,UK
14,Supplier_14,China
15,Supplier_15,USA
16,Supplier_16,UK
17,Supplier_17,China
18,Supplier_18,Germany
19,Supplier_19,China
20,Supplier_20,USA
21,Supplier_21,USA
22,Supplier_22,USA
23,Supplier_23,UK
24,Supplier_24,China
25,Supplier_25,Germany
26,Supplier_26,USA
27,Supplier_27,China
28,Supplier_28,UK
29,Supplier_29,Germany
30,Supplier_30,Germany
31,Supplier_31,Germany
32,Supplier_32,UK
33,Supplier_33,USA
34,Supplier_34,UK
35,Supplier_35,Germany
36,Supplier_36,China
37,Supplier_37,Germany
38,Supplier_38,China
39,Supplier_39,UK
40,Supplier_40,UK
41,Supplier_41,UK
42,Supplier_42,China
43,Supplier_43,UK
44,Supplier_44,USA
45,Supplier_45,Germany
46,Supplier_46,USA
47,Supplier_47,China
48,Supplier_48,UK
49,Supplier_49,Germany
50,Supplier_50,UK
51,Supplier_51,UK
52,Supplier_52,Germany
53,Supplier_53,Germany
54,Supplier_54,USA
55,Supplier_55,USA
56,Supplier_56,USA
57,Supplier_57,USA
58,Supplier_58,USA
59,Supplier_59,China
60,Supplier_60,China
61,Supplier_61,UK
62,Supplier_62,UK
63,Supplier_63,USA
64,Supplier_64,UK
65,Supplier_65,China
66,Supplier_66,China
67,Supplier_67,UK
68,Supplier_68,USA
69,Supplier_69,China
70,Supplier_70,Germany
71,Supplier_71,Germany
72,Supplier_72,UK
73,Supplier_73,USA
74,Supplier_74,UK
75,Supplier_75,USA
76,Supplier_76,USA
77,Supplier_77,Germany
78,Supplier_78,China
79,Supplier_79,China
80,Supplier_80,UK
81,Supplier_81,UK
82,Supplier_82,USA
83,Supplier_83,China
84,Supplier_84,USA
85,Supplier_85,Germany
86,Supplier_86,Germany
87,Supplier_87,USA
88,Supplier_88,USA
89,Supplier_89,USA
90,Supplier_90,USA
91,Supplier_91,USA
92,Supplier_92,Germany
93,Supplier_93,Germany
94,Supplier_94,Germany
95,Supplier_95,UK
96,Supplier_96,Germany
97,Supplier_97,China
98,Supplier_98,China
99,Supplier_99,USA
100,Supplier_100,Germany
101,Supplier_101,USA
102,Supplier_102,USA
103,Supplier_103,China
104,Supplier_104,China
105,Supplier_105,USA
106,Supplier_106,China
107,Supplier_107,USA
108,Supplier_108,USA
109,Supplier_109,USA
110,Supplier_110,UK
111,Supplier_111,China
112,Supplier_112,China
113,Supplier_113,Germany
114,Supplier_114,China
115,Supplier_115,Germany
116,Supplier_116,USA
117,Supplier_117,UK
118,Supplier_118,USA
119,Supplier_119,USA
120,Supplier_120,USA
121,Supplier_121,Germany
122,Supplier_122,UK
123,Supplier_123,USA
124,Supplier_124,Germany
125,Supplier_125,USA
126,Supplier_126,UK
127,Supplier_127,USA
128,Supplier_128,USA
129,Supplier_129,China
130,Supplier_130,Germany
131,Supplier_131,UK
132,Supplier_132,Germany
133,Supplier_133,China
134,Supplier_134,USA
135,Supplier_135,UK
136,Supplier_136,UK
137,Supplier_137,Germany
138,Supplier_138,USA
139,Supplier_139,China
140,Supplier_140,USA
141,Supplier_141,Germany
142,Supplier_142,UK
143,Supplier_143,UK
144,Supplier_144,USA
145,Supplier_145,USA
146,Supplier_146,USA
147,Supplier_147,USA
148,Supplier_148,China
149,Supplier_149,China
150,Supplier_150,China
151,Supplier_151,China
152,Supplier_152,Germany
153,Supplier_153,UK
154,Supplier_154,UK
155,Supplier_155,Germany
156,Supplier_156,Germany
157,Supplier_157,China
158,Supplier_158,USA
159,Supplier_159,UK
160,Supplier_160,Germany
161,Supplier_161,USA
162,Supplier_162,China
163,Supplier_163,Germany
164,Supplier_164,UK
165,Supplier_165,UK
166,Supplier_166,UK
167,Supplier_167,Germany
168,Supplier_168,UK
169,Supplier_169,China
170,Supplier_170,UK
171,Supplier_171,China
172,Supplier_172,UK
173,Supplier_173,China
174,Supplier_174,Germany
175,Supplier_175,China
176,Supplier_176,Germany
177,Supplier_177,USA
178,Supplier_178,China
179,Supplier_179,Germany
180,Supplier_180,USA
181,Supplier_181,UK
182,Supplier_182,USA
183,Supplier_183,China
184,Supplier_184,USA
185,Supplier_185,UK
186,Supplier_186,USA
187,Supplier_187,China
188,Supplier_188,China
189,Supplier_189,Germany
190,Supplier_190,UK
191,Supplier_191,UK
192,Supplier_192,USA
193,Supplier_193,UK
194,Supplier_194,China
195,Supplier_195,USA
196,Supplier_196,Germany
197,Supplier_197,USA
198,Supplier_198,USA
199,Supplier_199,Germany
200,Supplier_200,USA
